"","dataset_name","model","accurasy","number_of_trees","number_of_internal_trees","model_size_in_bytes","min_depth","max_depth","mean_depth","min_leaves","max_leaves","mean_leaves"
"1","accident","drf","0.806331471135941",700,700,778241,9,14,13.754286,23,95,65.781425
"2","ad","drf","0.980314113597246",500,500,271331,19,19,19,20,71,36.812
"3","adni_demographic_master_kaggle","drf","0.986435670158474",500,500,271331,19,19,19,20,71,36.812
"4","adult-stretch","drf","0.986435670158474",500,500,271331,19,19,19,20,71,36.812
"5","adult","drf","0.986435670158474",500,500,271331,19,19,19,20,71,36.812
